WKT	type	osm_id	lat	lon	place	abandoned:place	name	marker-color	marker-size
"POINT (22.4888791 2.2600039)"	points	"615792012"	2.2600039	22.4888791	village		Yamagwa	yellow	"8"
"POINT (22.4902164 2.3516596)"	points	"615792368"	2.3516596	22.4902164	suburb		Manga	red	"10"
"POINT (22.3585618 2.2094208)"	points	"615866042"	2.2094208	22.3585618	town		Ebonda	red	"10"
"POINT (22.3416127 2.3053773)"	points	"615869196"	2.3053773	22.3416127	village		Baso	yellow	"8"
"POINT (22.2556667 2.2723268)"	points	"615872388"	2.2723268	22.2556667	village		Yanzanaka	yellow	"8"
"POINT (22.221506 2.267524)"	points	"615872389"	2.267524	22.221506	village		Yamosumba	yellow	"8"
"POINT (22.2048549 2.2632358)"	points	"615873446"	2.2632358	22.2048549	village		Yamalaie	yellow	"8"
"POINT (22.1882037 2.2678671)"	points	"615873450"	2.2678671	22.1882037	village		Yangula	yellow	"8"
"POINT (22.171102 2.2767436)"	points	"615873454"	2.2767436	22.171102	village		Yahamba	yellow	"8"
"POINT (22.1713809 2.34934)"	points	"615874030"	2.34934	22.1713809	village		Baisa	yellow	"8"
